title,salary,position,working_life,education,company_name,company_type,financing_info,staff_numbers,recruiter_name,recruiter_job,release_time
培训主管,12k-24k,杭州 下城区 朝晖,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,招聘者,暂无信息
城市经理,12k-16k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,范先生,大区市场经理,暂无信息
Java,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
架构师,30k-50k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
Java技术专家,30k-50k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
资深java开发工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
城市经理,10k-15k,长沙 开福区 四方坪,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,车辆运营,暂无信息
哈啰出行城市经理,10k-15k,沈阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,文先生,城市负责人,暂无信息
司机,10k-15k,中山  ,1-3年,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,何先生,高级车辆运营,暂无信息
城市经理,10k-15k,武汉 硚口区 汉中,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,胡先生,高级运营,暂无信息
城市经理,10k-15k,石家庄  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,郭先生,城市经理,暂无信息
前端,15k-30k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,前端开发,暂无信息
资深政府事务,15k-25k,成都 锦江区 合江亭,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李女士,招聘者,暂无信息
车辆结构工程师,15k-25k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
品质工程师,13k-25k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
高级市场经理,10k-15k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,魏女士,市场经理,暂无信息
